,artist,number,orig_ds,orig_fname,title,duration
592,Hi-Five,0856,Billboard,0856\salami_chords.txt,I Like The Way (The Kissing Game),238
593,James Brown,0857,Billboard,0857\salami_chords.txt,Get Up (I Feel Like Being Like A) Sex Machine (Part 1),319
594,Nitty Gritty Dirt Band,0859,Billboard,0859\salami_chords.txt,Make A Little Magic,235
595,Judas Priest,0861,Billboard,0861\salami_chords.txt,You've Got Another Thing Comin',311
596,The String-A-Longs,0863,Billboard,0863\salami_chords.txt,Wheels,124
597,Oak Ridge Boys,0864,Billboard,0864\salami_chords.txt,Elvira,161
598,Rick Springfield,0865,Billboard,0865\salami_chords.txt,Don't Talk To Strangers,181
599,Talking Heads,0870,Billboard,0870\salami_chords.txt,And She Was,219
600,Freddy Fender,0872,Billboard,0872\salami_chords.txt,Secret Love,215
601,Johnny Horton,0873,Billboard,0873\salami_chords.txt,The Battle Of New Orleans,153
602,Donna Fargo,0874,Billboard,0874\salami_chords.txt,Superman,147
603,Elvis Presley,0875,Billboard,0875\salami_chords.txt,She Thinks I Still Care,232
604,Run-D.M.C.,0879,Billboard,0879\salami_chords.txt,Walk This Way,312
605,Police,0881,Billboard,0881\salami_chords.txt,Don't stand so close to me,243
606,Rockwell,0882,Billboard,0882\salami_chords.txt,Somebody s Watching Me,242
607,Metallica,0884,Billboard,0884\salami_chords.txt,One,444
608,UB40,0885,Billboard,0885\salami_chords.txt,The Way You Do The Things You Do,183
609,Wang Chung,0886,Billboard,0886\salami_chords.txt,Dance Hall Days,240
610,De La Soul,0887,Billboard,0887\salami_chords.txt,Me Myself And I,221
611,Gladys Knight & The Pips,0888,Billboard,0888\salami_chords.txt,Baby Don't Change Your Mind,195
612,Steve Winwood,0889,Billboard,0889\salami_chords.txt,Don t You Know What The Night Can Do,415
613,Ray Charles,0890,Billboard,0890\salami_chords.txt,Let's Go Get Stoned,184
614,The Who,0891,Billboard,0891\salami_chords.txt,Happy Jack,132
615,Edwin Starr,0893,Billboard,0893\salami_chords.txt,War,209
616,Abba,0894,Billboard,0894\salami_chords.txt,On And On And On,222
617,Todd Rundgren,0895,Billboard,0895\salami_chords.txt,A Dream Goes On Forever,179
618,Leslie Gore,0896,Billboard,0896\salami_chords.txt,California Nights,170
619,Eric Clapton,0898,Billboard,0898\salami_chords.txt,I Can't Stand It,250
620,The Temptations,0900,Billboard,0900\salami_chords.txt,I Wish It Would Rain,174
621,James Taylor,0901,Billboard,0901\salami_chords.txt,Country Road,203
622,ABBA,0902,Billboard,0902\salami_chords.txt,Honey Honey,174
623,The Ronettes,0903,Billboard,0903\salami_chords.txt,Be My Baby,159
624,The Kinks,0904,Billboard,0904\salami_chords.txt,Till The End Of The Day,157
625,"Crosby, Stills & Nash",0905,Billboard,0905\salami_chords.txt,Teach Your Children,174
626,Neneh Cherry,0909,Billboard,0909\salami_chords.txt,Kisses On The Wind,237
627,REO Speedwagon,0910,Billboard,0910\salami_chords.txt,Time For Me To Fly,213
628,Wilson Phillips,0911,Billboard,0911\salami_chords.txt,Hold On,221
629,Milli Vanilli,0913,Billboard,0913\salami_chords.txt,Girl You Know It s True,253
630,Dr. Hook,0914,Billboard,0914\salami_chords.txt,If Not You,196
631,Bobby Womack,0915,Billboard,0915\salami_chords.txt,Sweet Caroline (Good Times Never Seemed So Good),190
632,Eric Clapton,0916,Billboard,0916\salami_chords.txt,Promises,181
633,Anne Murray,0917,Billboard,0917\salami_chords.txt,A Love Song,164
634,Billy Idol,0920,Billboard,0920\salami_chords.txt,Hot In The City,218
635,Elvis Presley,0923,Billboard,0923\salami_chords.txt,Judy,132
636,The Ritchie Family,0925,Billboard,0925\salami_chords.txt,The Best Disco In Town,194
637,The Ventures,0926,Billboard,0926\salami_chords.txt,Perfidia,126
638,Little Anthony & The Imperials,0927,Billboard,0927\salami_chords.txt,"Out Of Sight, Out Of Mind",160
639,Tommy James,0928,Billboard,0928\salami_chords.txt,Mony Mony,175
640,Rock And Hyde,0929,Billboard,0929\salami_chords.txt,Dirty Water,258
641,Cornelius Brothers & Sister Rose,0932,Billboard,0932\salami_chords.txt,Treat Her Like A Lady,166
642,Ray Charles,0933,Billboard,0933\salami_chords.txt,Eleanor Rigby,180
643,The Box Tops,0935,Billboard,0935\salami_chords.txt,Cry Like A Baby,155
644,Roberta Flack,0940,Billboard,0940\salami_chords.txt,Feel Like Making Love,177
645,Bob Seger,0941,Billboard,0941\salami_chords.txt,Like A Rock,355
646,Wilson Pickett,0943,Billboard,0943\salami_chords.txt,I Found A True Love,146
647,Dolly Parton,0944,Billboard,0944\salami_chords.txt,Starting Over Again,238
648,The Doors,0945,Billboard,0945\salami_chords.txt,Riders On The Storm,431
649,The Miracles,0946,Billboard,0946\salami_chords.txt,I Second That Emotion,168
650,Simon & Garfunkel,0947,Billboard,0947\salami_chords.txt,Fakin it,199
651,Chubby Checker,0948,Billboard,0948\salami_chords.txt,The Twist,156
652,Sonny & Cher,0950,Billboard,0950\salami_chords.txt,All I Ever Need Is You,160
653,Boston,0952,Billboard,0952\salami_chords.txt,Feelin' Satisfied,252
654,LaVern Baker,0954,Billboard,0954\salami_chords.txt,I Cried A Tear,156
655,The Allan Parsons Project,0956,Billboard,0956\salami_chords.txt,Eye In The Sky,239
656,The Rolling Stones,0958,Billboard,0958\salami_chords.txt,Miss You,289
657,Abba,0961,Billboard,0961\salami_chords.txt,Take A Chance On Me,242
658,Billy Squier,0963,Billboard,0963\salami_chords.txt,The Stroke,208
659,The Sopwith Camel,0964,Billboard,0964\salami_chords.txt,Hello Hello,145
660,Arthur Conley,0965,Billboard,0965\salami_chords.txt,Sweet Soul Music,143
661,George Benson,0967,Billboard,0967\salami_chords.txt,Breezin',342
662,Brenda Lee,0968,Billboard,0968\salami_chords.txt,Coming On Strong,125
663,Billy Joel,0969,Billboard,0969\salami_chords.txt,Don't Ask Me Why,179
664,David Bowie,0970,Billboard,0970\salami_chords.txt,Modern Love,289
665,Pat Benatar,0973,Billboard,0973\salami_chords.txt,Little Too Late,248
666,The Beach Boys,0974,Billboard,0974\salami_chords.txt,Kokomo (From The Cocktail Soundtrack),218
667,Isaac Hayes,0978,Billboard,0978\salami_chords.txt,The Look Of Love,674
668,Culture Club,0979,Billboard,0979\salami_chords.txt,Karma Chameleon,255
669,Bananarama,0981,Billboard,0981\salami_chords.txt,Venus,222
670,Natalie Cole,0982,Billboard,0982\salami_chords.txt,Unforgettable,193
671,Barbara Lewis,0984,Billboard,0984\salami_chords.txt,Hello Stranger,161
672,The Jacksons,0985,Billboard,0985\salami_chords.txt,Dancing Machine,158
673,Leo Sayer,0986,Billboard,0986\salami_chords.txt,You Make Me Feel Like Dancing,174
674,Dolly Parton,0987,Billboard,0987\salami_chords.txt,Baby I'm Burnin',158
675,Bread,0988,Billboard,0988\salami_chords.txt,If,156
676,The Yardbirds,0990,Billboard,0990\salami_chords.txt,Shapes Of Things,145
677,Elton John,0991,Billboard,0991\salami_chords.txt,The Bitch Is Back,218
678,The Commodores,0992,Billboard,0992\salami_chords.txt,Nightshift,265
679,Elvis Presley,0993,Billboard,0993\salami_chords.txt,There Goes My Everything,180
680,Laura Branigan,0995,Billboard,0995\salami_chords.txt,Gloria,234
681,Ike & Tina Turner,0996,Billboard,0996\salami_chords.txt,I Want To Take You Higher,173
682,Focus,0999,Billboard,0999\salami_chords.txt,Hocus Pocus,207
683,J. Geils Band,1002,Billboard,1002\salami_chords.txt,Freeze-Frame,240
684,Player,1003,Billboard,1003\salami_chords.txt,Baby Come Back,218
685,Roy Drusky,1006,Billboard,1006\salami_chords.txt,Three Hearts In A Tangle,164
686,The Righteous Brothers,1007,Billboard,1007\salami_chords.txt,Unchained Melody,218
687,Dr. Hook,1009,Billboard,1009\salami_chords.txt,The Millionaire,181
688,Cyndi Lauper,1011,Billboard,1011\salami_chords.txt,I Drove All Night,253
689,Sting,1012,Billboard,1012\salami_chords.txt,All This Time,296
690,Debarge,1013,Billboard,1013\salami_chords.txt,Time Will Reveal,248
691,Wild Cherry,1014,Billboard,1014\salami_chords.txt,Play That Funky Music,199
692,The Trammps,1016,Billboard,1016\salami_chords.txt,Disco Inferno,217
693,Wilson Pickett,1018,Billboard,1018\salami_chords.txt,In The Midnight Hour,159
694,Prince & Sheena Easton,1019,Billboard,1019\salami_chords.txt,The Arms Of Orion,268
695,The Dramatics,1020,Billboard,1020\salami_chords.txt,Hey You! Get Off My Mountain,211
696,Wilson Pickett,1021,Billboard,1021\salami_chords.txt,Soul Dance Number 3,160
697,Cheap Trick,1022,Billboard,1022\salami_chords.txt,Surrender,256
698,Jimmy Reed,1024,Billboard,1024\salami_chords.txt,Baby What You Want Me To Do,170
699,Led Zeppelin,1025,Billboard,1025\salami_chords.txt,Over The Hills and Far Away,308
700,Greg Kihn,1027,Billboard,1027\salami_chords.txt,Lucky,267
701,Tina Turner,1031,Billboard,1031\salami_chords.txt,We Don t Need Another Hero (Thunderdome),256
702,James Brown,1032,Billboard,1032\salami_chords.txt,Down And Out In New York City,286
703,The Byrds,1033,Billboard,1033\salami_chords.txt,Goin' Back,208
704,The Greatful Dead,1034,Billboard,1034\salami_chords.txt,Sugar Magnolia,199
705,Gene Pitney,1037,Billboard,1037\salami_chords.txt,Town Without,172
706,Milli Vanilli,1039,Billboard,1039\salami_chords.txt,Girl I m Gonna Miss You,238
707,Eric Clapton,1040,Billboard,1040\salami_chords.txt,Lay Down Sally,231
708,Johnny Tillotson,1041,Billboard,1041\salami_chords.txt,It Keeps Right On A-Hurtin',170
709,Aretha Franklin,1042,Billboard,1042\salami_chords.txt,Oh Me Oh My (I'm A Fool For You Baby),222
710,Duran Duran,1043,Billboard,1043\salami_chords.txt,Is There Something I Should Know,250
711,Jimmy Ruffin,1044,Billboard,1044\salami_chords.txt,I've Passed This Way Before,169
712,Jefferson Starship,1045,Billboard,1045\salami_chords.txt,Count On Me,198
713,Eddie Holland,1046,Billboard,1046\salami_chords.txt,Jamie,145
714,B.J. Thomas,1048,Billboard,1048\salami_chords.txt,Hooked On A Feeling,191
715,Billy Squier,1051,Billboard,1051\salami_chords.txt,My Kinda Lover,211
716,Pink Floyd,1052,Billboard,1052\salami_chords.txt,Another Brick In The Wall (Part II),240
717,Pat Benatar,1053,Billboard,1053\salami_chords.txt,Heartbreaker,207
718,Marty Robbins,1054,Billboard,1054\salami_chords.txt,I Walk Alone,200
719,Elvis Presley,1055,Billboard,1055\salami_chords.txt,My Wish Came True,155
720,"Earth, Wind & Fire",1056,Billboard,1056\salami_chords.txt,After The Love Has Gone,281
721,Bill Withers,1058,Billboard,1058\salami_chords.txt,Ain't No Sunshine,126
722,Hank Snow,1059,Billboard,1059\salami_chords.txt,I've Been Everywhere,167
723,Eagles,1061,Billboard,1061\salami_chords.txt,Best Of My Love,275
724,The Fabulous Thunderbirds,1062,Billboard,1062\salami_chords.txt,Tuff Enuff,203
725,Dion,1063,Billboard,1063\salami_chords.txt,This Little Girl,158
726,Robert John,1064,Billboard,1064\salami_chords.txt,Sad Eyes,253
727,Bruce Springsteen,1066,Billboard,1066\salami_chords.txt,My Hometown,274
728,Gino Vanelli,1067,Billboard,1067\salami_chords.txt,Hurts To Be In Love,223
729,Gloria Gaynor,1068,Billboard,1068\salami_chords.txt,Never Can Say Goodbye,178
730,The J. Geils Band,1069,Billboard,1069\salami_chords.txt,Must Of Got Lost,181
731,The Babys,1070,Billboard,1070\salami_chords.txt,Every Time I Think Of You,243
732,Bob Seger,1071,Billboard,1071\salami_chords.txt,Rock And Roll Never Forgets,216
733,Fats Domino,1072,Billboard,1072\salami_chords.txt,Be My Guest,136
734,Cliff Richard,1073,Billboard,1073\salami_chords.txt,Devil Woman,215
735,Todd Rundgren,1076,Billboard,1076\salami_chords.txt,Can We Still Be Friends,216
736,Switch,1078,Billboard,1078\salami_chords.txt,There'll Never Be,217
737,Alabama,1082,Billboard,1082\salami_chords.txt,Take Me Down,224
738,Cyndi Lauper,1084,Billboard,1084\salami_chords.txt,All Through The Night,270
739,Chicago,1085,Billboard,1085\salami_chords.txt,Make Me Smile,266
740,Thelma Houston,1086,Billboard,1086\salami_chords.txt,Don't Leave Me This Way,222
741,Joan Baez,1087,Billboard,1087\salami_chords.txt,There But For Fortune,195
742,Heart,1089,Billboard,1089\salami_chords.txt,Who Will You Run To,245
743,The Crystals,1091,Billboard,1091\salami_chords.txt,He's A Rebel,157
744,Billy Swan,1093,Billboard,1093\salami_chords.txt,I Can Help,178
745,The Crystals,1094,Billboard,1094\salami_chords.txt,There's No Other (Like My Baby),143
746,The Meters,1096,Billboard,1096\salami_chords.txt,Look-Ka Py Py,196
747,"Earth, Wind & Fire",1097,Billboard,1097\salami_chords.txt,After The Love Has Gone,281
748,Tina Turner,1098,Billboard,1098\salami_chords.txt,Private Dancer,434
749,Dinah Washington,1099,Billboard,1099\salami_chords.txt,Where Are You,136
750,Marvin Gaye & Tammy Terrell,1100,Billboard,1100\salami_chords.txt,If I Could Build My Whole World Around You,146
751,Dion,1101,Billboard,1101\salami_chords.txt,(I was) Born To Cry,147
752,Stray Cats,1102,Billboard,1102\salami_chords.txt,Rock This Town,205
753,Chubby Checker,1103,Billboard,1103\salami_chords.txt,The Twist,156
754,Tina Turner,1104,Billboard,1104\salami_chords.txt,What You See Is What You Get,267
755,Young MC,1106,Billboard,1106\salami_chords.txt,Bust A Move,265
756,The Beatles',1107,Billboard,1107\salami_chords.txt,"Ob-La-Di, Ob-La-Da",189
757,Rob Base,1109,Billboard,1109\salami_chords.txt,It Takes Two,302
758,Chuck Berry,1110,Billboard,1110\salami_chords.txt,Reelin' & Rockin',197
759,Chris Kenner,1111,Billboard,1111\salami_chords.txt,Land Of 1000 Dances,149
760,Stephanie Mills,1112,Billboard,1112\salami_chords.txt,Never Knew Love Like This Before,324
761,Charlie Rich,1113,Billboard,1113\salami_chords.txt,Lonely Weekends,130
762,Glen Campbell,1114,Billboard,1114\salami_chords.txt,Wichita Lineman,187
763,The Everly Brothers,1116,Billboard,1116\salami_chords.txt,Ebony Eyes,186
764,Marvin Gaye & Tammy Terrell,1117,Billboard,1117\salami_chords.txt,If I Could Build My Whole World Around You,146
765,Barbra Streisand,1118,Billboard,1118\salami_chords.txt,Funny Girl,165
766,Los Lobos,1119,Billboard,1119\salami_chords.txt,Will The Wolf Survive,223
767,Marty Robbins,1120,Billboard,1120\salami_chords.txt,Big Iron,237
768,Simon And Garfunel,1121,Billboard,1121\salami_chords.txt,A Hazy Shade Of Winter,138
769,Charlie Rich,1123,Billboard,1123\salami_chords.txt,Lonely Weekends,130
770,"David Crosby,Graham Nash",1124,Billboard,1124\salami_chords.txt,Carry Me,215
771,Roy Head,1125,Billboard,1125\salami_chords.txt,Treat Her Right,126
772,Genesis,1126,Billboard,1126\salami_chords.txt,Invisible Touch,209
773,The 5th Dimension,1127,Billboard,1127\salami_chords.txt,One Less Bell To Answer,211
774,Nat King Cole,1132,Billboard,1132\salami_chords.txt,Those Lazy-Hazy-Crazy Days Of Summer,145
775,Smokey Robinson,1133,Billboard,1133\salami_chords.txt,Cruisin',270
776,The Miracles,1134,Billboard,1134\salami_chords.txt,Mighty Good Lovin',158
777,Kris Kristofferson,1135,Billboard,1135\salami_chords.txt,Loving Her Was Easier,227
778,The Youngbloods,1136,Billboard,1136\salami_chords.txt,Get Together,277
779,Mary MacGregor,1138,Billboard,1138\salami_chords.txt,Torn Between Two Lovers,223
780,Waylon Jennings,1139,Billboard,1139\salami_chords.txt,Are You Sure Hank Done It This Way,176
781,Madonna,1140,Billboard,1140\salami_chords.txt,Oh Father,299
782,Johnny Tillotson,1141,Billboard,1141\salami_chords.txt,Talk Back Trembling Lips,159
783,The Beatles,1142,Billboard,1142\salami_chords.txt,Hard Days Night,153
784,Eddie Rabbitt,1143,Billboard,1143\salami_chords.txt,I Love A Rainy Night,190
785,Tevin Campbell,1145,Billboard,1145\salami_chords.txt,Tell Me What You Want Me To Do,258
786,Dion,1146,Billboard,1146\salami_chords.txt,"Abraham, Martin And John",200
787,Sonny & Cher,1147,Billboard,1147\salami_chords.txt,A Cowboy's Work Is Never Done,198
788,Duran Duran,1148,Billboard,1148\salami_chords.txt,I Don t Want Your Love,228
789,Count Basie,1149,Billboard,1149\salami_chords.txt,Going To Chicago Blues,254
790,Stray Cats,1150,Billboard,1150\salami_chords.txt,Rock This Town,205
791,The Righteous Brothers,1151,Billboard,1151\salami_chords.txt,Soul And Inspiration,189
792,Dion,1152,Billboard,1152\salami_chords.txt,Love Came To Me,166
793,Simon & Garfunkel,1153,Billboard,1153\salami_chords.txt,The Sounds Of Silence,189
794,Buck Owens,1154,Billboard,1154\salami_chords.txt,Think Of Me,140
795,Jackson Browne,1155,Billboard,1155\salami_chords.txt,Running On Empty,299
796,The Commodores,1157,Billboard,1157\salami_chords.txt,Easy,264
797,Johnny Cash,1160,Billboard,1160\salami_chords.txt,I Got Stripes,125
798,Cliff Richard,1161,Billboard,1161\salami_chords.txt,Daddy's Home,181
799,Smokey Robinson,1162,Billboard,1162\salami_chords.txt,Cruisin',270
800,Paul McCartney & Wings,1163,Billboard,1163\salami_chords.txt,My Love,248
801,Double Exposure,1164,Billboard,1164\salami_chords.txt,Ten Percent,196
802,LaVern Baker,1166,Billboard,1166\salami_chords.txt,I Cried A Tear,156
803,Billy Idol,1167,Billboard,1167\salami_chords.txt,Rebel Yell,291
804,Bobbie Gentry,1168,Billboard,1168\salami_chords.txt,Ode To Billie Joe,256
805,Jesus Jones,1169,Billboard,1169\salami_chords.txt,"Right Here, Right Now",186
806,Blue Cheer,1170,Billboard,1170\salami_chords.txt,Summertime Blues,226
807,Bob Seger,1171,Billboard,1171\salami_chords.txt,Night Moves,326
808,Madonna,1173,Billboard,1173\salami_chords.txt,Live To Tell,352
809,Little River Band,1174,Billboard,1174\salami_chords.txt,Happy Anniversary,241
810,Bob Seger,1177,Billboard,1177\salami_chords.txt,Against The Wind,334
811,The Jacksons,1178,Billboard,1178\salami_chords.txt,I Want You Back,180
812,"Emerson, Lake & Palmer",1180,Billboard,1180\salami_chords.txt,Lucky Man,281
813,Paul Revere & The Raiders,1181,Billboard,1181\salami_chords.txt,Kicks,149
814,Sagittarius,1182,Billboard,1182\salami_chords.txt,My World Fell Down,230
815,Tina Turner,1183,Billboard,1183\salami_chords.txt,Private Dancer,434
816,The Miracles,1186,Billboard,1186\salami_chords.txt,"Baby, Baby Don't Cry",239
817,Michael Jackson,1188,Billboard,1188\salami_chords.txt,Man In The Mirror,320
818,Dr. Hook,1190,Billboard,1190\salami_chords.txt,Only Sixteen,166
819,Four Tops,1192,Billboard,1192\salami_chords.txt,Standing In The Shadows Of Love,159
820,The Beatles,1193,Billboard,1193\salami_chords.txt,She's A Woman,175
821,Tom T. Hall,1194,Billboard,1194\salami_chords.txt,The Year That Clayton Delaney Died,165
822,Stray Cats,1197,Billboard,1197\salami_chords.txt,I Won't Stand In Your Way,235
823,The Doobie Brothers,1200,Billboard,1200\salami_chords.txt,Echoes Of Love,179
824,The Commodores,1201,Billboard,1201\salami_chords.txt,Three Times A Lady,220
825,Blondie,1203,Billboard,1203\salami_chords.txt,Island Of Lost Souls,230
826,Pat Benatar,1204,Billboard,1204\salami_chords.txt,Heartbreaker,207
827,Bob Seger,1208,Billboard,1208\salami_chords.txt,Even Now,273
828,Dion,1210,Billboard,1210\salami_chords.txt,Lovers Who Wander,152
829,Lesley Gore,1211,Billboard,1211\salami_chords.txt,You Don't Own Me,152
830,Sonny & Cher,1212,Billboard,1212\salami_chords.txt,Baby Don't Go,189
831,The Beatles,1213,Billboard,1213\salami_chords.txt,I Don't Want To Spoil The Party,156
832,Donna Summer,1217,Billboard,1217\salami_chords.txt,Last Dance,200
833,Charlie Rich,1218,Billboard,1218\salami_chords.txt,Behind Closed Doors,176
834,Rare Earth,1220,Billboard,1220\salami_chords.txt,Get Ready,170
835,Wilson Pickett,1221,Billboard,1221\salami_chords.txt,I'm In Love,153
836,Cliff Richard,1222,Billboard,1222\salami_chords.txt,Carrie,225
837,Culture Club,1223,Billboard,1223\salami_chords.txt,I'll Tumble 4 Ya,156
838,Buck Owens,1225,Billboard,1225\salami_chords.txt,I've Got A Tiger By The Tail,135
839,Duran Duran,1226,Billboard,1226\salami_chords.txt,All she wants is,267
840,25 or 6 to 4,1227,Billboard,1227\salami_chords.txt,Chicago,290
841,Bay City Rollers,1228,Billboard,1228\salami_chords.txt,Saturday Night,178
842,Roberta Flack and Donny Hathaway,1229,Billboard,1229\salami_chords.txt,You've got a Friend,207
843,Bonnie Pointer,1232,Billboard,1232\salami_chords.txt,Heaven Must Have Sent You,216
844,Boston,1234,Billboard,1234\salami_chords.txt,Amanda,256
845,Elvis Presley,1235,Billboard,1235\salami_chords.txt,For Ol' Times Sake,218
846,Level 42,1237,Billboard,1237\salami_chords.txt,Something About You,227
847,The Shirelles,1239,Billboard,1239\salami_chords.txt,Will You Love Me Tomorrow,164
848,Chicago,1240,Billboard,1240\salami_chords.txt,Alive Again,246
849,Donna Summer,1242,Billboard,1242\salami_chords.txt,Last Dance,200
850,The Beatles,1244,Billboard,1244\salami_chords.txt,Help!,140
851,Marie Osmond,1245,Billboard,1245\salami_chords.txt,Paper Roses,162
852,Greg Kihn Band,1246,Billboard,1246\salami_chords.txt,Happy Man,175
853,Willie Mitchell,1247,Billboard,1247\salami_chords.txt,20-75,137
854,The Everly Brothers,1248,Billboard,1248\salami_chords.txt,That's Old Fashioned (That's The Way Love Should Be),142
855,Steve Miller Band,1249,Billboard,1249\salami_chords.txt,Rock'n Me,189
856,Gladys Knight & The Pips,1250,Billboard,1250\salami_chords.txt,Baby Don't Change Your Mind,195
857,Brenda Lee,1253,Billboard,1253\salami_chords.txt,All Alone Am I,166
858,Genesis,1256,Billboard,1256\salami_chords.txt,Abacab,527
859,Minnie Riperton,1257,Billboard,1257\salami_chords.txt,Lovin' You,204
860,Kenny Rogers,1258,Billboard,1258\salami_chords.txt,Lady,235
861,Jesus Jones,1260,Billboard,1260\salami_chords.txt,"Right Here, Right Now",186
862,Simon & Garfunkel,1261,Billboard,1261\salami_chords.txt,El Condor Pasa,189
863,Jimmy Reed,1263,Billboard,1263\salami_chords.txt,Baby What You Want Me To Do,170
864,Bobby Darin,1265,Billboard,1265\salami_chords.txt,If I Were A Carpenter,181
865,The Rolling Stones,1266,Billboard,1266\salami_chords.txt,Honky Tonk Women,182
866,Rick Derringer,1267,Billboard,1267\salami_chords.txt,"Rock and Roll, Hoochie Koo",506
867,Edgar Winter,1268,Billboard,1268\salami_chords.txt,Frankenstein,208
868,Elton John,1269,Billboard,1269\salami_chords.txt,Who Wears These Shoes,243
869,Kaoma,1270,Billboard,1270\salami_chords.txt,Lambada,204
870,Bette Midler,1271,Billboard,1271\salami_chords.txt,The Rose,221
871,Jan & Dean,1272,Billboard,1272\salami_chords.txt,Sidewalk Surfin',162
872,Cliff Richard,1273,Billboard,1273\salami_chords.txt,We Don't Talk Anymore,254
873,Cyndi Lauper,1274,Billboard,1274\salami_chords.txt,She Bop,229
874,Milli Vanilli,1276,Billboard,1276\salami_chords.txt,Baby Don t Forget My Number,388
875,Bob Seger,1277,Billboard,1277\salami_chords.txt,American Storm,258
876,Shannon,1279,Billboard,1279\salami_chords.txt,Let The Music Play,222
877,Cornelius Brothers & Sister Rose,1280,Billboard,1280\salami_chords.txt,Treat Her Like A Lady,166
878,Van Halen,1281,Billboard,1281\salami_chords.txt,When It's Love,322
879,George Harrison,1282,Billboard,1282\salami_chords.txt,Crackerbox Palace,238
880,Four Tops,1283,Billboard,1283\salami_chords.txt,Standing In The Shadows Of Love,159
881,Diana Ross,1285,Billboard,1285\salami_chords.txt,Upside Down,223
882,A Taste Of Honey,1286,Billboard,1286\salami_chords.txt,Sukiyaki,223
883,Johnny Horton,1287,Billboard,1287\salami_chords.txt,Johnny Reb,141
884,The Las,1289,Billboard,1289\salami_chords.txt,There She Goes,163
885,The Turtles,1290,Billboard,1290\salami_chords.txt,Happy Together,175
886,The Chiffons,1292,Billboard,1292\salami_chords.txt,He's So Fine,116
887,Billy Idol,1296,Billboard,1296\salami_chords.txt,White Wedding,253
888,The Everly Brothers,1297,Billboard,1297\salami_chords.txt,Ebony Eyes,186
889,Pet Shop Boys,1300,Billboard,1300\salami_chords.txt,Where The Streets Have No Names,273
